EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150209,BMO,20150209,56.04,54.99,54.55,56.26
20141027,BMO,20141027,54.13,53.97,54.23,51.89
20140804,BMO,20140804,49.17,49.08,54.05,52.87
20140507,BMO,20140507,65.1,64.05,65.37,62.17
20140211,BMO,20140211,60.1,62.7,71.37,74.42
20131030,BMO,20131030,56.5,57.95,54.61,51.75
20130801,BMO,20130801,47.74,47.38,49.02,46.59
20130508,AMC,20130509,26.15,26.86,26.6,26.7
20130213,AMC,20130214,20.54,20.75,22.07,21.92
20121105,NaN,20121106,16.18,17.22,17.93,16.83
20120808,AMC,20120809,18.6,18.12,16.97,16.51
20120502,AMC,20120503,12.58,12.85,12.12,11.9
20120207,AMC,20120208,14.02,13.93,14.27,14.47
20111108,AMC,20111109,15.56,12.0,12.2,10.92
20110808,AMC,20110809,11.65,11.22,10.89,11.16
20110510,AMC,20110511,10.98,11.49,11.08,11.3
20110215,BMO,20110215,9.02,9.04,9.09,10.27
20101109,AMC,20101110,10.0802,10.0202,9.8402,9.540189999999999
20100805,BMO,20100805,10.0202,10.1402,9.7802,9.7802
20100505,AMC,20100506,11.28022,11.10022,10.2002,9.60019
20100209,BMO,20100209,9.8402,9.42019,9.9602,9.60019
20091105,AMC,20091106,9.9602,11.460230000000001,12.00024,12.00024
20090803,AMC,20090804,16.980339999999998,18.00036,17.76035,17.58035
20090506,AMC,20090507,18.420370000000002,18.540370000000003,18.06036,18.30037
20090212,AMC,20090213,15.300310000000001,16.140320000000003,16.140320000000003,15.480310000000001
20081106,AMC,20081107,8.82018,8.46017,8.76017,8.10016
20080731,AMC,20080801,19.9204,19.9804,22.38045,21.90044
20080501,AMC,20080502,24.30048,25.320510000000002,23.64047,22.44045
20080220,AMC,20080221,24.00048,24.06048,21.06042,21.000420000000002
20071108,AMC,20071109,30.360609999999998,30.1806,29.16058,29.04058
20070808,AMC,20070809,33.90068,37.50075,36.60073,37.080740000000006
20070510,AMC,20070511,41.46083,41.28082,41.22083,40.500809999999994
20070315,AMC,20070316,48.22486,49.12458,45.210809999999995,46.11053
20061114,NaN,20061115,50.29422,50.384190000000004,52.813430000000004,50.92402
20060809,NaN,20060810,39.58757,38.957770000000004,37.87811,39.40763
20060515,BMO,20060515,51.73376,52.31858,50.159259999999996,47.90997
20060316,AMC,20060317,54.65785,58.48165,59.15644,58.70658
20051118,BMO,20051118,40.71222,43.86123,43.186440000000005,44.08616
20041109,AMC,20041110,42.73659,42.78157,38.46293,40.12741
20040803,BMO,20040803,62.1255,61.090830000000004,36.79845,35.94372
20040505,BMO,20040505,98.65404000000001,97.43942,82.32417,79.17515
20040303,BMO,20040303,70.31293000000001,72.83214,82.27917,86.91272
20031031,BMO,20031031,60.64096,59.78624,61.99054,61.72063000000001
20030728,BMO,20030728,65.81435,65.22953000000001,62.305440000000004,61.1808
20030424,BMO,20030424,36.21363,36.978390000000005,35.08899,35.9887
20030225,BMO,20030225,20.018720000000002,21.593220000000002,20.87345,19.83877
20021112,AMC,20021113,31.040259999999996,32.11992,23.61759,22.088070000000002
20020813,AMC,20020814,40.84718,35.9887,31.265190000000004,31.62507
20020502,AMC,20020503,71.12268,72.20234,72.69718,67.5238
20020311,AMC,20020312,72.24733,72.60721,73.77685,73.23701
20011026,AMC,20011029,60.191109999999995,61.1808,58.70658,56.68221
20010802,BMO,20010802,45.210809999999995,45.39075,46.38044,45.750640000000004
20010430,BMO,20010430,50.609120000000004,53.35326,52.31858,52.633480000000006
20010320,NaN,20010321,44.98588,42.45543,41.33078,40.48729
20001114,BMO,20001114,62.980230000000006,60.449780000000004,62.980230000000006,65.22953000000001
20000814,BMO,20000814,50.04679,49.76563,50.609120000000004,48.07866
20000515,AMC,20000516,59.32513,56.23235,58.762809999999995,56.23235
20000309,NaN,20000310,97.84429,92.22105,83.22388000000001,84.91085
19991115,AMC,19991116,44.8453,46.11053,44.423559999999995,44.98588
19990816,AMC,19990817,44.70472,44.70472,32.3336,31.771279999999997
