EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20141219,BMO,20141219,60.110001,60.529999,67.32,67.849998
20140923,BMO,20140923,53.57,52.810001,47.799999,48.48
20140620,BMO,20140620,44.950001,45.279999,52.75,51.91
20140404,BMO,20140404,47.880001,47.560001,45.560001,43.68
20131220,BMO,20131220,52.52,53.049999,48.080002,47.439999
20130924,BMO,20130924,51.189999,50.009998,51.790001,49.799999
20130621,BMO,20130621,47.470001,44.57,44.59,43.990002
20130410,BMO,20130410,42.380001,41.68,43.310001,45.200001
20121220,BMO,20121220,35.119999,34.84,37.970001,37.790001
20120920,BMO,20120920,31.360001,31.969999,29.959999,29.280001
20120621,BMO,20120621,28.52,27.9,25.879999,25.73
20120405,BMO,20120405,34.630001,34.919998,33.23,32.779999
20111221,BMO,20111221,30.139999,31.07,29.35,29.790001
20110922,BMO,20110922,28.08,27.43,24.41,24.120001
20110622,BMO,20110622,29.280001,30.52,32.66,32.549999
20110331,BMO,20110331,33.950001,34.59,32.099998,32.529999
20101221,BMO,20101221,35.509998,35.900002,33.169998,32.299999
20100922,BMO,20100922,23.889999,24.120001,26.16,26.99
20100623,BMO,20100623,20.370001,20.0,21.85,21.34
20100401,BMO,20100401,25.91,25.120001,26.08,25.709999
20091218,BMO,20091218,21.77,21.82,23.35,24.030001
20090922,BMO,20090922,19.059999,19.33,21.200001,20.549999
20090619,BMO,20090619,12.61,13.09,15.31,14.04
20090402,BMO,20090402,12.44,12.46,13.23,12.11
20081219,BMO,20081219,8.06,8.2,7.3,7.52
20080922,BMO,20080922,15.19,16.5,15.19,14.32
20080618,BMO,20080618,18.23,18.34,16.34,15.76
20080402,BMO,20080402,19.42,19.59,20.059999,20.309999
20071219,BMO,20071219,21.23,21.610001,20.09,19.33
20070919,BMO,20070919,23.84,25.059999,21.290001,22.129999
20070620,BMO,20070620,23.129999,23.190001,25.610001,26.459999
20070329,BMO,20070329,27.389999,27.07,24.709999,24.540001
20061220,BMO,20061220,24.25,24.315001,26.385,26.825001
20060920,BMO,20060920,20.145,20.07,21.65,20.695
20060619,BMO,20060619,15.62,15.75,16.945,17.08
20060330,BMO,20060330,17.639999,17.870001,16.75,16.34
20051221,BMO,20051221,13.525,13.755,14.1,14.155
20050921,BMO,20050921,15.31,14.995,15.675,15.825
20050620,BMO,20050620,12.585,12.925,13.15,13.325
20050330,BMO,20050330,16.424999,16.6,16.1,15.75
20041217,BMO,20041217,13.69,13.725,15.03,15.015
20040920,BMO,20040920,10.545,10.8,10.45,10.55
20040617,BMO,20040617,11.16,10.8,10.755,10.71
20040330,BMO,20040330,14.29,14.355,14.25,14.6
20031217,BMO,20031217,14.825,14.85,14.98,15.695
20030922,BMO,20030922,18.469999,17.965,17.625,17.965
20030620,BMO,20030620,15.375,14.85,14.755,14.375
20030331,BMO,20030331,7.235,7.095,7.285,7.125
20021218,BMO,20021218,9.44,8.79,8.68,8.75
20020918,NaN,20020919,9.08,8.25,8.3,8.325
20020618,BMO,20020618,11.325,11.625,11.71,11.82
20020402,BMO,20020402,12.93,13.255,12.48,12.675
20011218,BMO,20011218,11.6,11.56,11.325,11.52
20000406,BMO,20000406,1.875,1.84375,1.71875,1.53125
19991217,NaN,19991220,1.0625,1.0625,1.0625,1.125
